ID	phylum	"Predicted GTPase, probable translation factor
"	"Phenylalanyl-tRNA synthetase alpha subunit
"	"Arginyl-tRNA synthetase
"	"Seryl-tRNA synthetase
"	"Cysteinyl-tRNA synthetase
"	"Leucyl-tRNA synthetase
"	"Valyl-tRNA synthetase
"	"Metal-dependent proteases with possible chaperone activity
"	"Signal recognition particle GTPase (Ffh)
"	"Signal recognition particle GTPase (FtsY)
"
meta_mOTU_v2_6727	Firmicutes	2.1728353408000003	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
meta_mOTU_v2_6777	Firmicutes	0.0001	1.4422371999	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	1.088865833	1.7067121881
meta_mOTU_v2_6787	Firmicutes	1.3476708261	0.0001	0.0001	1.1524619681000001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
meta_mOTU_v2_6792	Firmicutes	2.652461626	0.0001	1.6551702093	2.2834838998	0.0001	0.6127843756	0.3041757844	0.0001	3.2097155469	0.0001
meta_mOTU_v2_6795	Firmicutes	8.0252737374	2.8843743998000004	8.489100385	5.669191061699999	22.6879228356	9.9462277346	3.9189155012000003	2.8184481278	27.937973598099997	5.1022819555
meta_mOTU_v2_6801	Firmicutes	1.3476708261	6.9194862423	0.8417568641	2.2368842284	2.0381616627000003	0.5921899428	1.1216715333	0.0001	3.2520401475000003	1.6607428362999999
meta_mOTU_v2_6808	Firmicutes	8.085524956799999	5.785565365	1.6119003999000001	21.9462534542	14.691489176900001	1.3513628009999998	1.1159618153	1.4255650935	15.1758206882	1.5809042384
meta_mOTU_v2_6819	Firmicutes	0.0001	0.0001	0.0001	0.0001	1.9834625998	0.0001	0.9559393335999999	0.0001	2.1306007446	0.0001
meta_mOTU_v2_6832	Firmicutes	7.784611083	4.2519182962999995	18.3910157493	31.2599471922	18.8890289417	12.0111726615	1.673892723	2.5293867814	52.998642096400005	6.2235816702
meta_mOTU_v2_6834	Firmicutes	0.0001	0.0001	0.0001	0.570945975	0.0001	0.0001	0.0001	0.0001	3.2808821887	0.0001
meta_mOTU_v2_6852	Firmicutes	0.0001	0.0001	0.0001	0.0001	0.0001	0.6135464209	0.0001	0.0001	0.0001	0.0001
meta_mOTU_v2_6875	Firmicutes	18.8146855944	5.8025814396	3.3439028635000003	12.6465339068	21.0774898447	17.1339781964	7.235478377999999	9.3624989322	38.3609495174	0.0001
meta_mOTU_v2_6878	Bacteroidetes	9.3818295015	0.0001	3.2991697148000005	6.9630777275	7.0030948409	10.948756839000001	9.9416415483	6.1845629764	12.2745799684	10.856944203
meta_mOTU_v2_6883	Firmicutes	0.0001	0.0001	0.0001	1.1524619681000001	1.0428292228	1.2134110021	0.5574004773	2.8346455308	1.0912746070000001	4.8041024906
